titre,genre,date,jour,horaire
,,27/10/2025,Lundi,14:00
,,27/10/2025,Lundi,16:30
,,27/10/2025,Lundi,19:40
,,27/10/2025,Lundi,22:00
,,28/10/2025,Mardi,10:40
,,28/10/2025,Mardi,14:00
,,28/10/2025,Mardi,16:30
,,28/10/2025,Mardi,19:40
,,28/10/2025,Mardi,22:00
,,27/10/2025,Lundi,14:15
,,27/10/2025,Lundi,16:45
,,27/10/2025,Lundi,19:15
,,27/10/2025,Lundi,19:30
,,27/10/2025,Lundi,21:45
,,27/10/2025,Lundi,22:00
,,28/10/2025,Mardi,11:00
,,28/10/2025,Mardi,14:15
,,28/10/2025,Mardi,16:45
,,28/10/2025,Mardi,19:15
,,28/10/2025,Mardi,19:30
,,28/10/2025,Mardi,21:45
,,28/10/2025,Mardi,22:00
,,27/10/2025,Lundi,13:30
,,27/10/2025,Lundi,15:30
,,27/10/2025,Lundi,17:30
,,28/10/2025,Mardi,11:00
,,28/10/2025,Mardi,13:30
,,28/10/2025,Mardi,15:30
,,28/10/2025,Mardi,17:30
,,27/10/2025,Lundi,13:15
,,27/10/2025,Lundi,15:30
,,27/10/2025,Lundi,17:45
,,27/10/2025,Lundi,20:00
,,27/10/2025,Lundi,22:15
,,28/10/2025,Mardi,10:45
,,28/10/2025,Mardi,13:15
,,28/10/2025,Mardi,15:30
,,28/10/2025,Mardi,17:45
,,28/10/2025,Mardi,20:00
,,28/10/2025,Mardi,22:15
,,27/10/2025,Lundi,14:00
,,27/10/2025,Lundi,15:30
,,27/10/2025,Lundi,17:00
,,27/10/2025,Lundi,18:30
,,27/10/2025,Lundi,20:00
,,27/10/2025,Lundi,21:30
,,28/10/2025,Mardi,10:45
,,28/10/2025,Mardi,14:00
,,28/10/2025,Mardi,15:30
,,28/10/2025,Mardi,17:00
,,28/10/2025,Mardi,18:30
,,28/10/2025,Mardi,20:00
,,28/10/2025,Mardi,21:30
,,27/10/2025,Lundi,13:15
,,27/10/2025,Lundi,15:30
,,27/10/2025,Lundi,17:45
,,27/10/2025,Lundi,20:00
,,27/10/2025,Lundi,22:15
,,28/10/2025,Mardi,10:50
,,28/10/2025,Mardi,13:15
,,28/10/2025,Mardi,15:30
,,28/10/2025,Mardi,17:45
,,28/10/2025,Mardi,20:00
,,28/10/2025,Mardi,22:15
,,27/10/2025,Lundi,15:15
,,27/10/2025,Lundi,19:15
,,28/10/2025,Mardi,10:45
,,28/10/2025,Mardi,15:15
,,28/10/2025,Mardi,19:15
C'ETAIT MIEUX DEMAIN,,27/10/2025,Lundi,13:15
C'ETAIT MIEUX DEMAIN,,27/10/2025,Lundi,15:30
C'ETAIT MIEUX DEMAIN,,27/10/2025,Lundi,17:45
